,full_name,label
2789,franklin county reagan coalition,0
2790,nextgen climate action committee,0
2791,zarwin baum good government pac,0
2792,mid-atlantic laborers' political league,0
2793,toll bros inc pac,0
2794,aetna inc. political action committee,0
2795,philadelphia federal credit union-pac,0
2796,schuylkill county republican committee,0
2797,committee for fiscal responsibility,0
2798,friends of rob loughery,0
2799,run baby run,0
2800,lawpac (pa association for justice f/k/a pa trial lawyers association,0
2801,nfg papac (national fuel gas) patricia m. delavern,0
2802,accountable pa,0
2803,friends for judy schwank,0
2804,local 0690 plumbers union pol action fund                   ,0
2805,allegheny technologies inc pac (at-pac)                     ,0
2806,general electric co pac                                     ,0
2807,trans associates pac,0
2808,pa assn of nurse anesthetists pac                           ,0
2809,asplundh expert co pac                                      ,0
2810,friends of russ diamond,0
2811,cambria co dem com                                          ,0
2812,pa athletic trainers pac (pat pac),0
2813,"cutler, bryan friends of                                    ",0
2814,pa chamber of business and industry pac,0
2815,neca - pac                                                  ,0
2816,pma pac(pa manufacturers assn)                              ,0
2817,gpcc pennpac,0
2818,realtors assn metro pgh pac - ramp pac                      ,0
2819,local 0005 bricklayers/allied craftsman pac                 ,0
2820,local 0030 comp roofers union pac                           ,0
2821,pasnap - pa assn staff nurses/allied profs                  ,0
2822,monroe co dem com                                           ,0
2823,allegheny county democratic committee,0
2824,pharmpac (pa pharmacy pac) c/o treas: patricia a. epple,0
2825,citizens for mark schweiker,0
2826,taxpayers for ethical government,0
2827,pft pol action fund (pgh fed t,0
2828,mifflin county republican committee,0
2829,asbestos heat &amp; frost insulators pac,0
2830,acba judicial excellence committee,0
2831,"spurgeon for judge; c/o eric l. bradley, treasurer",0
2832,friends for sheryl delozier,0
2833,friends of frank farry,0
2834,republican state leadership committee - judicial fairness initiative,0
2835,teamsters local 384 pac,0
2836,friends of carl walker metzgar,0
2837,friends of jim wansacz,0
2838,labor votes pac,0
2839,brighter pennsylvania pac,0
2840,south philadelphia democratic club,0
2841,clifton heights republican campaign committee,0
2842,ward 10 executive committee,0
2843,laborers local 1174 pol actio,0
2844,financial businesspersons association,0
2845,s&t bank pac                                                ,0
2846,wecht 2015,0
2847,friends of pauline calabrese for judge,0
2848,"new frontier fund, the",0
2849,believe again pac,0
2850,pabar pac (pa bar assn)                                     ,0
2851,"maher, john com to elect                                    ",0
2852,"donatucci, maria p friends of                               ",0
2853,friends of aaron bernstine,0
2854,"mcneill, dan friends of",0
2855,"vitali, gregory vote com                                    ",0
2856,gmp(glass molders pottery)pol ed pac                        ,0
2857,rcpa-pac,0
2858,tom anderson for judge,0
2859,horsham rep party                                           ,0
2860,"hayes, kristen friends of",0
2861,the new frontier fund,0
2862,jenkintown rep com                                          ,0
2863,liberty bell beverage pac,0
2864,the liberty fund,0
2865,lead the way pac,0
2866,phha pac,0
2867,citizens for david oh,0
2868,"hornbarger, william friends to elect",0
2869,"rzucidlo, susan friends of                                  ",0
2870,"egan jr., john j.  (lob)                                    ",0
2871,adelante! pa                                                ,0
2872,blair co rep com                                            ,0
2873,friends of blondell reynolds brown,0
2874,green for philadelphia,0
2875,se caucus democratic commtt pac c/o tom herman,0
2876,"giusini, vince for judge",0
2877,"haggerty, kevin com to elect                                ",0
2895,"scomillio, victor e",1
2896,supporters of dave zimmerman,0
2897,friends for donna oberlander,0
2898,"powell, kenneth james jr.",1
2899,"williamson, john com to elect                               ",0
2900,direct energy employee pac,0
2901,marsha h. neifield,1
2902,the commonwealth league,0
2903,general building contractors assn pac (gbca pac)            ,0
2904,volunteers for david argall,0
2905,john galloway for state rep,0
2906,paul lalley,1
2907,"fattah, frances for judge",0
2908,ward 01 rep com                                             ,0
2909,"decaro, john committee to elect judge",0
2910,"roman,tracy brandeis ",1
2911,friends of jon ritchie,0
2912,shawn wagner,1
2913,"clemons, lucretia  ",1
2914,gerard a. kosinski,1
2915,friends of mercy toepel,0
2916,"menges, christopher  ",1
2917,gembusia for state representative,0
2918,"tsai, stella committee to elect judge",0
2919,committee to elect stella tsai judge,0
2920,friends of bill adolph jr.,0
2921,craig m. washington,1
2922,committee to retain judge washington,0
2923,committee to elect mario scavello,0
2924,"comery, karen e.",1
2925,"sue helm for state house committee c/o lowman henry, treasurer",0
2926,citizens to elect payne,0
2927,friends of eli evankovich,0
2928,"london, jack friends of",0
2929,anne covey,1
