,merged_full_name,transactor_type
1667,butzel long pac butzel long political action committee,Organization
1668,retired detroit police/fire assn pac retired detroit police and fire assn pac,Organization
1669,committee to elect gene haymaker committee to elect gene haymaker,Organization
1670,jack coleman for state representativ jack coleman for state representative,Organization
1671,tuscola county republican party tuscola county republican party,Organization
1672,menominee county democratic party menominee county democratic party,Organization
1673,the martin l cousineau committee the martin l cousineau committee,Organization
1674,terence mekoski for senate terence mekoski for senate,Organization
1675,iosco co rep comm iosco county republican committee,Organization
1676,michigan list michigan list,Organization
1677,cte jeff yaroch for state rep cte jeff yaroch for state rep,Organization
1678,allor majority fund allor majority fund,Organization
1679,committee to elect sue allor committee to elect sue allor,Organization
1680,barrett brigade leadership fund pac barrett brigade leadership fund pac,Organization
1681,mecosta county republican party mecosta county republican party,Organization
1682,bill sowerby for state rep bill sowerby for state representative,Organization
1683,frankenmuth pac frankenmuth pac,Organization
1684,mi rural pac mi rural pac,Organization
1685,friends of marie fielder friends of marie fielder,Organization
1686,greater oakland republicans greater oakland republicans,Organization
1687,washtenaw county democratic committe washtenaw county democratic committee,Organization
1688,michigan petroleum association polit michigan petroleum association political action committee,Organization
1689,local union no 58 international brot local union no 58 international brotherhood of electrical workers,Organization
3411,mi chiropractic society pac michigan chiropractic society pac,Organization
3412,committee to retain judge joseph lon committee to retain judge joseph longo,Organization
3413,calhoun county republican committee calhoun county republican committee,Organization
3414,eaton county democratic executive co eaton county democratic executive committee,Organization
3415,kalamazoo county republican committe kalamazoo county republican committee,Organization
3416,michigan democratic party rural cauc michigan democratic party rural caucus,Organization
3417,centene corporation political action centene corporation political action committee,Organization
3418,phil morse phil morse,Organization
3419,presque isle county republican commi presque isle county republican committee,Organization
3420,friends of farmers insurance pac friends of farmers insurance pac,Organization
3421,simon group holdings pac simon group holdings pac,Organization
3422,leelanau county republican committee leelanau county republican committee,Organization
4641,property management assn pmam pac property management assn pmam pac,Organization
4642,antrim county democratic party antrim county democratic party,Organization
4643,michigan propane pac michigan propane political action committee,Organization
4644,moes pac michigan orthodontic education society pac,Organization
4645,grand rapids police officers assoc p grand rapids police officers assoc pac,Organization
4646,plymouth democratic club plymouth democratic club,Organization
4647,garza working for michigan fund garza working for michigan fund,Organization
4648,alex garza for state representative alex garza for state representative,Organization
4649,south lyon area democrats south lyon area democrats,Organization
4650,friends of anthony paesano friends of anthony paesano,Organization
4651,committee to elect mark tisdel committee to elect mark tisdel,Organization
4652,cheboygan county republican committe cheboygan county republican committee,Organization
4653,barnett leadership fund barnett leadership fund,Organization
4654,1st congressional dist rep comm 1st congressional dist rep comm,Organization
4655,dickinson county democratic executiv dickinson county democratic executive committee,Organization
4656,rochester area democratic club pac rochester area democratic club pac,Organization
4657,leelanau county democratic committee leelanau county democratic committee,Organization
4658,detroit police lieutenants and serge detroit police lieutenants and sergeants association comm on political,Organization
5182,ben frederick for state representati ben frederick for state representative,Organization
5183,cheboygan county democratic committe cheboygan county democratic committee,Organization
5184,committee to elect nicholas john hat committee to elect nicholas john hathaway,Organization
5185,committee to elect john c gillis committee to elect john c gillis,Organization
5186,novi democratic club novi democratic club,Organization
5187,michigan family medicine pac board ( michigan family medicine pac board (sponsored by mafp),Organization
5188,huron county democratic committee huron county democratic committee,Organization
5189,lincoln park firefighters pac lincoln park firefighters pac,Organization
5190,michigan association of insurance ag michigan association of insurance agents  agent pac,Organization
5191,mi podiatric medical association mi podiatric medical association political action society,Organization
5192,emmet county democratic committee emmet county democratic committee,Organization
6501,burglar and fire alarm assn bfaampac burglar and fire alarm association of michigan pac,Organization
6502,dearborn heights professional fire f dearborn heights professional fire fighters union pac,Organization
6503,capitol city labor program advocacy capitol city labor program advocacy fund,Organization
6504,clark hill pac clark hill political action comm,Organization
6505,6th district republican committee 6th district republican committee,Organization
6506,marquette county democratic party marquette county democratic party,Organization
6507,friends of incompass michigan friends of incompass michigan,Organization
6508,michigan manufacturers association p michigan manufacturers association political action committee,Organization
6509,wisconsin electric michigan politica wisconsin electric michigan political action committee,Organization
6510,national association of insurance an national association of insurance and financial advisors- michigan pac,Organization
6511,beeler majority fund pac beeler majority fund pac,Organization
6512,committee to elect andrew beeler committee to elect andrew beeler,Organization
6513,local 1602 pac local 1602 pac,Organization
6514,the party politic the party politic,Organization
6515,roscommon county official democratic roscommon county official democratic party,Organization
6517,bay city educators pac bay city educators public affairs council-mi education association,Organization
